Loan ID,Amount Requested,Amount Funded By Investors,Interest Rate,Loan Length,CREDIT Grade,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio,City,State,Home Ownership,Monthly Income,FICO Range,Earliest CREDIT Line,Open CREDIT Lines,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Accounts Now Delinquent,Delinquent Amount,Delinquencies (Last 2 yrs),Months Since Last Delinquency,Public Records On File,Months Since Last Record,Education,Employment Length,"Status (Fully Paid=1, Not Paid=0)"
1856772,10000,10000,10.16%,36 months,B1,Home improvement,home_improvement,323.43,10000,17.45%,fort worth,TX,OWN,4458.33,730-734,11/29/85,18,35,9973,19.70%,1,0,0,0,,1,86,,4 years,?
544915,4800,4800,13.61%,36 months,C2,My Loan,debt_consolidation,163.15,4800,15.79%,CINCINNATI,OH,OWN,1647,675-679,6/13/04,10,13,6636,45.50%,0,0,0,0,39,0,,,< 1 year,?
2079551,10000,10000,12.12%,36 months,B3,consoliate,debt_consolidation,332.72,10000,14.84%,Highlands Ranch,CO,RENT,7333.33,710-714,7/20/89,8,40,14888,24.10%,2,0,0,1,8,0,,,n/a,?
2514828,5350,5350,15.80%,36 months,C3,Debt Consoldation,debt_consolidation,0,5350,21.36%,LITTLE ELM,TX,MORTGAGE,3333.33,675-679,11/10/02,9,18,9879,55.80%,1,0,0,1,12,0,,,1 year,?
396145,13000,2997.38,14.74%,36 months,D3,i always make my payment.,debt_consolidation,448.98,13000,16.39%,louisville,KY,MORTGAGE,2916.67,675-679,8/30/01,9,9,21124,87.30%,3,0,0,0,,0,,Jefferson Community College-Louisville,3 years,?
734817,21000,20925,10.00%,36 months,B2,Credit Card Refinancing,credit_card,677.62,21000,14.08%,San Francisco,CA,RENT,6250,730-734,7/10/01,8,20,21102,63%,0,0,0,0,,0,,,2 years,?
396154,10500,6165.53,15.68%,36 months,E1,4WD Chevy,car,367.52,10500,14.42%,Leavenworth,KS,MORTGAGE,5000,675-679,4/9/94,15,19,24151,61.10%,3,0,0,0,,0,,"University of Missouri-Kansas City,Penn Valley Community College",6 years,?
637408,8000,8000,12.23%,36 months,C1,High Interest Credit Card Refinancing,credit_card,266.6,8000,23.08%,Griffin,GA,RENT,5083.33,690-694,5/12/01,7,13,9433,76.30%,5,0,0,0,,0,,,1 year,?
493460,10000,10000,12.73%,36 months,C1,Bridge Loan for Start Up Paralegal Biz,small_business,335.67,10000,4.04%,Dallas,TX,RENT,6666.67,705-709,3/29/95,7,28,0,0%,1,0,0,0,26,0,,United States Air Force Academy (USAFA),1 year,?
2370413,29375,29375,11.14%,36 months,B2,Debt consolidation ,debt_consolidation,963.65,29375,28.63%,Belton,MO,MORTGAGE,5833.33,715-719,11/29/97,14,23,20804,55.60%,0,0,0,0,72,0,,,3 years,?
2311888,20675,20650,22.47%,60 months,E5,Business Loan,small_business,0,20675,7.68%,EAST PROVIDENCE,RI,MORTGAGE,11250,670-674,3/18/88,6,20,5740,73.60%,0,0,0,0,42,0,,,6 years,?
388347,7000,5371.66,12.84%,36 months,C2,Disney,vacation,235.33,7000,10.27%,Germantown,MD,RENT,5041.67,680-684,11/24/97,6,23,3706,45.20%,0,0,0,0,26,0,,Montgomery College,3 years,?
2366930,18250,18250,10.16%,36 months,B1,Credit card refinancing,credit_card,0,18250,17.78%,LAREDO,TX,RENT,5980,710-714,10/25/03,10,23,21589,60%,0,0,0,0,24,0,,,2 years,?
2311049,16000,16000,15.31%,60 months,C2,Debt Consolidation,debt_consolidation,383.25,16000,15.53%,SUNNYVALE,CA,MORTGAGE,10000,660-664,5/27/97,13,27,76071,88.30%,1,0,0,0,32,0,,,10+ years,?
637762,10000,10000,6.91%,36 months,A5,Consolidation,debt_consolidation,308.36,10000,4.37%,Hoboken,NJ,RENT,6000,715-719,1/19/00,13,15,11511,28.40%,1,0,0,1,15,0,,,3 years,?
2300581,28000,28000,7.90%,36 months,A4,Consolidation,debt_consolidation,0,28000,25.86%,Albany,NY,RENT,7000,730-734,7/16/99,7,10,33601,68.20%,0,0,0,0,,0,,,10+ years,?
772296,19200,19200,9.99%,36 months,B1,freedom from debt in 3,debt_consolidation,619.44,19200,12.47%,Castaic,CA,RENT,6833.33,740-744,10/2/99,14,39,8567,35%,0,0,0,0,,0,,,n/a,?
2378442,20125,20100,21.49%,60 months,E3,Blessing,debt_consolidation,0,20125,28.24%,MARICOPA,CA,MORTGAGE,3750,695-699,1/31/80,3,27,14053,98.30%,2,0,0,0,54,0,,,10+ years,?
2226059,8000,8000,15.31%,36 months,C2,pay of cards,debt_consolidation,278.54,8000,19.24%,HEBER SPRINGS,AR,RENT,4166.67,680-684,11/2/99,9,11,6012,42.90%,1,0,0,1,22,0,,,2 years,?
2367601,25000,25000,15.80%,60 months,C3,Debt Consolidation,debt_consolidation,605.3,25000,9.36%,Annandale,NJ,MORTGAGE,6166.67,710-714,11/10/00,9,31,9827,57.10%,0,0,0,0,,0,,,2 years,?
788061,7200,7175,8.49%,36 months,A5,Debt Consolidation Loan,debt_consolidation,227.26,7200,6.96%,HOLLYWOOD,FL,RENT,5000,725-729,9/26/03,12,19,6302,63%,1,0,0,0,,0,,,2 years,?
977644,18000,18000,13.49%,60 months,C1,Debt Consolidation,debt_consolidation,414.09,18000,24.12%,seattle,WA,OWN,4100,725-729,11/19/85,19,36,29948,72.70%,2,0,0,0,,0,,,3 years,?
431678,19125,14811.19,13.92%,36 months,C4,Personal Loan,credit_card,652.87,19125,10.28%,New York,NY,RENT,7516.67,695-699,5/16/95,12,23,11573,61.90%,1,0,0,0,,0,,"Cornell University,CUNY Bernard M Baruch College",2 years,?
2366933,8000,8000,11.14%,36 months,B2,floor,home_improvement,0,8000,32.21%,KILLEEN,TX,MORTGAGE,4166.67,710-714,5/20/93,11,23,25276,69.60%,0,0,0,0,,0,,,n/a,?
2369351,23850,23850,14.33%,36 months,C1,Profitable Business Acquisition ,small_business,0,23850,25.35%,Fair Lawn,NJ,OWN,6666.67,790-794,11/23/98,7,19,2004,3.20%,1,0,0,0,,0,,,5 years,?
789053,10000,9975,6.99%,36 months,A3,Home Improvement Loan,home_improvement,308.73,10000,27.92%,Sacramento,CA,MORTGAGE,2500,780-784,2/26/81,5,29,1230,32.40%,2,0,0,0,,0,,,1 year,?
2285088,6075,6075,15.31%,36 months,C2,Debt remover ,debt_consolidation,211.52,6075,15.43%,Lawrence,KS,MORTGAGE,3000,675-679,2/12/87,6,14,7040,88%,2,0,0,0,,2,103,,6 years,?
1111620,21175,21175,16.77%,36 months,D2,Debt Consolidation,debt_consolidation,752.53,21175,17.01%,Fort Worth,TX,RENT,4192.54,675-679,10/14/89,11,22,15290,48.80%,1,0,0,0,,0,,,3 years,?
1132914,11600,11600,20.30%,60 months,E5,Hard Worker on Hard Times,debt_consolidation,309.27,11600,9.47%,Metairie,LA,MORTGAGE,3750,685-689,12/20/02,6,14,1642,25.30%,2,0,0,0,,0,,,7 years,?
441717,8000,7975,12.53%,36 months,B5,Help from Abroad,debt_consolidation,267.74,8000,9.80%,Jersey City,NJ,RENT,2500,700-704,5/23/02,5,8,5934,39.80%,1,0,0,1,19,0,,Hamilton College-Clinton,3 years,?
475531,6000,6000,14.61%,36 months,D1,gold bill consolidation,debt_consolidation,206.86,6000,12.95%,OFallon,MO,MORTGAGE,4833.33,665-669,9/19/79,14,29,8763,47.90%,3,0,0,0,41,0,,,10+ years,?
1955042,4000,4000,12.12%,36 months,B3,New Trailer,major_purchase,133.09,4000,25.39%,Bryan,TX,MORTGAGE,10416.67,680-684,6/22/93,12,38,19665,41.70%,0,0,0,2,2,0,,,2 years,?
1200455,20950,20950,22.78%,60 months,F2,Consolidate,debt_consolidation,587.95,20950,15.49%,ANCHORAGE,AK,RENT,3500,660-664,4/18/95,7,16,9426,84.20%,1,0,0,0,34,0,,,3 years,?
979272,7850,7850,13.49%,36 months,C1,Refinance Loan,credit_card,266.36,7850,19.44%,PEMBROKE,NC,MORTGAGE,2125,690-694,12/8/99,7,22,6228,34.40%,2,0,0,0,51,0,,,2 years,?
557484,18000,17975,18.30%,60 months,F1,homehealth,small_business,460.03,18000,22.58%,chicago,IL,RENT,4500,690-694,4/30/07,7,9,1408,26.60%,5,0,0,0,,0,,,3 years,?
452944,1800,1800,8.59%,36 months,A4,matt,other,56.9,1800,8.95%,COLUMBIA,SC,RENT,2000,720-724,9/15/04,9,11,1620,17.10%,0,0,0,0,,0,,,2 years,?
2382647,8000,8000,22.47%,36 months,E5,credi cards pay off,debt_consolidation,0,8000,25.26%,florence,AL,RENT,2000,660-664,9/20/05,7,7,7340,78.90%,3,0,0,0,,0,,,2 years,?
513687,6000,5950,11.36%,36 months,B5,New Baby Furniture and playground,home_improvement,197.47,6000,3.61%,Huntington,NY,RENT,11666.67,690-694,7/4/99,5,9,524,29.10%,0,0,0,0,75,0,,,2 years,?
715522,8000,4050,17.14%,60 months,E3,DEBTFREE,debt_consolidation,199.43,8000,16.94%,OKLAHOMA CITY,OK,RENT,3358.33,665-669,10/7/03,6,14,5667,56.10%,1,0,0,0,,1,97,,9 years,?
448111,19000,18945.45,16.35%,36 months,E1,Debt Consolidation (BOA & Sears),debt_consolidation,671.26,19000,21.50%,Kirkland,WA,MORTGAGE,9410.08,665-669,1/2/81,20,49,83317,72.20%,0,0,0,0,41,0,,Seattle Pacific University,10+ years,?
474090,11100,11075,12.87%,36 months,C1,New Year's Credit Card Consolidation!,debt_consolidation,373.33,11100,19.99%,South Boston,MA,RENT,5208.33,690-694,7/25/00,15,19,9505,59.80%,0,0,0,0,60,0,,Northeastern University,< 1 year,?
2184774,4325,4325,11.14%,36 months,B2,Medical Cash,medical,141.89,4325,16.77%,CANNON FALLS,MN,RENT,3416.67,690-694,5/6/87,6,11,7512,46.40%,0,0,0,1,14,0,,,9 years,?
416753,20000,10975,11.89%,36 months,B4,Debt Consolidation,debt_consolidation,663.28,20000,7.32%,Charlestown,MA,MORTGAGE,11958.33,730-734,7/16/86,8,29,27062,79.60%,0,0,0,0,,0,,"University of Massachusetts-Dartmouth,Boston College",< 1 year,?
388882,15000,10250,15.05%,36 months,D4,home improvement,home_improvement,520.37,15000,11.58%,kansas city,KS,OWN,3583,685-689,6/8/01,4,7,4490,43.60%,4,0,0,0,,0,,DeVry kansas city,6 years,?
433667,20000,17975,13.22%,36 months,C2,Debt Consolidation,debt_consolidation,676.02,20000,16.63%,Colorado Springs,CO,MORTGAGE,7083.33,705-709,3/16/97,12,48,25299,58.20%,2,0,0,0,,0,,Colorado Technical University,9 years,?
452706,24250,24250,15.31%,36 months,D3,Hard Worker,debt_consolidation,844.28,24250,5.99%,CHANUTE,KS,RENT,11333.33,680-684,1/15/99,6,9,6548,63%,0,0,0,0,,0,,,2 years,?
1097728,10000,10000,10.65%,36 months,B2,refrigeration tools,small_business,325.74,10000,18.82%,NORTH ARLINGTON,NJ,RENT,3416.67,700-704,7/27/02,10,25,9483,63.60%,0,0,0,0,,0,,,7 years,?
2374856,10000,10000,13.11%,36 months,B4,Hand up,debt_consolidation,337.47,10000,22.48%,SILVER SPRING,MD,RENT,3750,690-694,3/19/05,10,22,10199,79.10%,0,0,0,0,,0,,,4 years,?
647374,25000,24950,12.61%,60 months,C2,Medical Loan,medical,563.85,25000,3.10%,Kingwood,TX,MORTGAGE,12500,790-794,8/27/95,9,45,6453,18.40%,2,0,0,0,,0,,,1 year,?
500117,1000,1000,7.51%,36 months,A4,kerrys loan,debt_consolidation,31.11,1000,22.61%,magnolia,AR,MORTGAGE,2083.33,725-729,3/18/01,13,19,2630,14.90%,3,0,0,0,,0,,,6 years,?
2079178,17600,17600,20.49%,60 months,E1,Debt consolidation,debt_consolidation,471.11,17600,20.22%,GROVE CITY,OH,RENT,5316.13,675-679,6/7/98,10,23,6889,68.20%,0,0,0,1,15,0,,,7 years,?
127504,10000,1321.1,8.07%,36 months,A4,Bathroom addition,home_improvement,313.67,10000,5.84%,Wellesley,MA,MORTGAGE,12500,790-794,2/19/93,7,19,37152,3.70%,0,0,0,0,0,0,0,,6 years,?
449546,5000,5000,11.14%,36 months,B1,On Track Loan,debt_consolidation,164.02,5000,13.51%,NEW YORK,NY,RENT,4166.67,735-739,9/18/84,4,15,11919,76.90%,1,0,0,1,18,0,,,5 years,?
866840,13500,13500,8.49%,36 months,A5,Credit Card Consolidation,debt_consolidation,426.1,13500,18.68%,boca raton,FL,MORTGAGE,9791.67,715-719,1/1/00,8,12,15524,45.50%,0,0,0,0,,0,,,< 1 year,?
548515,17000,16725,13.61%,36 months,C2,credit card consolidation,debt_consolidation,577.81,17000,13%,troy,MO,MORTGAGE,8333,700-704,4/6/98,10,15,12899,57.40%,2,0,0,0,63,0,,,< 1 year,?
482319,10750,10700,14.22%,36 months,C5,house loan,major_purchase,368.56,10750,11.38%,Dundee,NY,OWN,2083.33,675-679,1/25/06,12,14,7634,50.90%,0,0,0,0,,0,,SUNY College of Technology at Alfred,2 years,?
426877,8000,7608.79,14.42%,36 months,D2,Debt Consolidation,debt_consolidation,275.07,8000,8.40%,Garrettsville,OH,MORTGAGE,2916.67,690-694,5/28/95,8,17,3037,66%,7,0,0,0,,1,105,St Petersburg College,< 1 year,?
2093171,22800,22800,23.76%,60 months,F4,Best Value Automobiles,debt_consolidation,652.74,22800,14.05%,VALENCIA,CA,MORTGAGE,7916.67,660-664,4/3/93,11,26,10047,44.10%,2,0,0,1,17,0,,,10+ years,?
466101,6000,6000,15.31%,36 months,D3,Consolidate my debt!,debt_consolidation,208.9,6000,21.95%,Dalllas,TX,RENT,3750,675-679,11/12/96,14,22,11760,95.60%,4,0,0,0,,0,,,4 years,?
423064,11000,8426.55,13.79%,36 months,C5,Debt Consolidation/used vehicle,credit_card,374.84,11000,14.97%,Columbia,SC,RENT,3666.67,690-694,1/23/05,7,7,9900,60%,1,0,0,0,,0,,University of Wisconsin-Green Bay,1 year,?
675717,2500,2500,7.66%,36 months,A5,car repair and dental work,other,77.95,2500,23.22%,Santee,CA,RENT,3519,700-704,11/13/05,9,10,2695,39.30%,0,0,0,0,,0,,,4 years,?
2435485,2500,2500,11.14%,36 months,B2,recreational vehicle,major_purchase,82.02,2500,9.24%,pembroke,NH,MORTGAGE,3333.33,720-724,4/5/03,10,12,5578,56.30%,0,0,0,0,,0,,,2 years,?
157308,1600,1200,9.96%,36 months,B5,medical expenses,medical,51.6,1600,10.33%,boynton beach,FL,RENT,1500,680-684,11/28/99,2,3,6646,100.70%,1,0,0,0,0,0,0,,10+ years,?
397651,12000,1789.54,13.47%,36 months,C4,paying off credit card debt,debt_consolidation,165.38,4875,21.09%,Port Saint Lucie,FL,OTHER,3125,690-694,9/13/99,11,18,10800,54.30%,1,0,0,0,43,0,,Indian River State College/ IRSC.edu,< 1 year,?
298280,12000,7950,9.76%,36 months,B2,2007Tax,other,385.86,12000,8.65%,Philadelphia,PA,MORTGAGE,7900,725-729,6/25/95,15,43,19073,28.60%,3,0,0,1,15,0,,Temple University,1 year,?
1207182,8300,8300,22.45%,60 months,F1,Debt consolidation,debt_consolidation,231.37,8300,21.92%,Honolulu,HI,OWN,5666.67,665-669,4/6/98,10,29,50172,97%,1,0,0,0,,0,,,10+ years,?
