Loan ID,Amount Requested,Amount Funded By Investors,Interest Rate,Loan Length,CREDIT Grade,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio,City,State,Home Ownership,Monthly Income,FICO Range,Earliest CREDIT Line,Open CREDIT Lines,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Accounts Now Delinquent,Delinquent Amount,Delinquencies (Last 2 yrs),Months Since Last Delinquency,Public Records On File,Months Since Last Record,Education,Employment Length,"Status (Fully Paid=1, Not Paid=0)"
2227104,12000,12000,13.11%,36 months,B4,Credit card refinancing,credit_card,404.97,12000,15.24%,KINGSBURG,CA,MORTGAGE,4166.67,690-694,11/25/89,10,24,20229,86.80%,0,0,0,0,34,0,,,7 years,0
1690660,2000,2000,17.27%,36 months,C5,Car financing,car,71.58,2000,12.07%,FORT LAUDERDALE,FL,OWN,2083.33,660-664,1/27/07,18,28,6175,36.80%,3,0,0,0,30,0,,,1 year,1
2301695,9000,9000,7.90%,36 months,A4,Bundle Loan,debt_consolidation,281.62,9000,20.01%,PEACHTREE CITY,GA,MORTGAGE,7750,690-694,2/26/97,9,39,11639,46.60%,0,0,0,2,10,0,,,< 1 year,0
844352,13000,13000,11.99%,36 months,B5,Payback,debt_consolidation,431.73,13000,7.59%,Minneapolis,MN,RENT,5833.33,705-709,10/3/00,12,26,6696,47.50%,1,0,0,0,58,0,,,5 years,1
330773,10000,1525.01,10.71%,36 months,B5,Business Loan,other,163.01,5000,12.48%,reno,NV,MORTGAGE,16666.67,700-704,3/21/88,20,30,53087,69.90%,1,0,0,0,45,0,,,< 1 year,0
2368576,6250,6250,17.77%,60 months,D1,consolidation loan,debt_consolidation,157.93,6250,24.29%,SCOTT CITY,MO,RENT,1811.33,690-694,4/19/05,15,24,5211,57.30%,0,0,0,0,,0,,,1 year,0
2375157,26500,26475,15.31%,36 months,C2,Debt Consolidation,debt_consolidation,922.66,26500,24.76%,EVERETT,WA,MORTGAGE,5500,675-679,9/4/01,13,32,28313,70.30%,3,0,0,1,18,0,,,10+ years,0
978766,10000,9950,14.27%,36 months,C2,Medical,medical,343.09,10000,2.49%,North Miami,FL,MORTGAGE,6750,695-699,12/19/01,7,15,5082,91.30%,1,0,0,0,24,0,,,3 years,1
478835,3000,3000,10.99%,36 months,B4,Debt Consolidation,debt_consolidation,98.21,3000,9.82%,WINCHESTER,MA,RENT,3583.33,685-689,6/2/92,14,29,14338,34.20%,1,0,0,0,38,0,,,10+ years,1
2308443,23325,23300,17.27%,36 months,C5,Misc.,credit_card,834.74,23325,13.59%,WINTERS,CA,RENT,4333.33,660-664,8/7/00,10,17,20224,86.80%,2,0,0,0,76,0,,,1 year,0
2376775,17450,17450,11.14%,36 months,B2,Credit card refinancing,credit_card,572.45,17450,19.62%,WOODBURY,NJ,MORTGAGE,5416.67,675-679,6/21/93,9,19,36625,68.10%,0,0,0,0,28,0,,,4 years,0
2227426,3200,3200,13.11%,36 months,B4,Debit Consolidation,debt_consolidation,108,3200,16.90%,Glendale,AZ,RENT,2916.67,670-674,6/10/04,16,40,3841,31.50%,0,0,0,0,33,0,,,5 years,0
331873,8800,1550,12.92%,36 months,D2,to pay off high interest credit cards,debt_consolidation,100.97,3000,19.52%,honolulu,HI,RENT,3166.67,670-674,11/10/95,17,37,8443,33.20%,4,0,0,1,17,0,,,6 years,0
2379579,33000,33000,15.80%,60 months,C3,Prosperity,debt_consolidation,799,33000,6.93%,DUBLIN,CA,RENT,7750,705-709,4/14/89,8,26,24189,67.40%,1,0,0,1,14,0,,,1 year,0
715930,5000,4950,7.29%,36 months,A4,Consolidating High Interest Credit Debt,debt_consolidation,155.05,5000,12.98%,Austin,TX,RENT,3166.67,720-724,7/4/04,9,16,5147,44.80%,0,0,0,0,,0,,,< 1 year,1
2369177,10000,10000,17.77%,36 months,D1,Relief,debt_consolidation,360.38,10000,22.35%,PEEKSKILL,NY,MORTGAGE,8000,665-669,6/17/94,14,33,10379,81.70%,2,0,0,1,21,0,,,10+ years,0
605454,3500,3500,12.23%,36 months,C1,Front Sight,major_purchase,116.64,3500,10.20%,TACOMA,WA,RENT,4391,700-704,12/9/96,3,7,2193,62.70%,0,0,0,0,,1,111,,4 years,1
2296178,16800,16800,15.80%,36 months,C3,Debt consolidation,debt_consolidation,0,16800,23.46%,ANGEL FIRE,NM,MORTGAGE,3900,670-674,2/28/96,9,16,9638,83.80%,1,0,0,1,16,0,,,10+ years,0
395560,18000,10165.11,12.84%,36 months,C2,Froman Debt Consolidation Loan,debt_consolidation,605.13,18000,12.74%,McCrory,AR,MORTGAGE,2512,725-729,9/9/99,5,8,22099,84.70%,0,0,0,0,,0,,Arkansas State University-Newport,3 years,1
439148,13000,12825,11.83%,36 months,B3,Better Rate on Credit Card,credit_card,430.75,13000,4.17%,Vallejo,CA,MORTGAGE,9583.33,715-719,7/11/02,7,21,1731,9%,3,0,0,2,6,0,,"University of California-Davis (UC Davis),London School of Economics",3 years,1
2311358,4000,4000,15.80%,36 months,C3,Down Payment,house,140.24,4000,2.09%,elk grove,CA,RENT,6137.92,680-684,1/6/01,7,17,5401,32.10%,2,0,0,1,13,0,,,3 years,0
505245,5000,4062.37,7.51%,36 months,A4,SCHOOL LOAN,small_business,155.55,5000,17.52%,miami,FL,MORTGAGE,3333.33,775-779,1/16/92,15,44,5450,11.80%,5,0,0,0,,0,,,4 years,1
453541,15000,14900,13.57%,36 months,C3,Consolitade debt,credit_card,509.53,15000,0.81%,Los Angeles,CA,RENT,6750,750-754,9/29/96,14,25,981,1.10%,7,0,0,1,16,0,,,< 1 year,0
1489445,10000,10000,12.12%,36 months,B3,personal,debt_consolidation,332.72,10000,14.01%,Dadeville,AL,RENT,2500,705-709,10/15/01,6,13,3705,28.10%,1,0,0,0,39,0,,,5 years,1
2286793,14000,14000,14.09%,36 months,B5,Debt consolidation,debt_consolidation,479.1,14000,23.44%,TROY,MI,RENT,5416.67,685-689,8/28/03,13,21,29384,50.90%,0,0,0,1,17,0,,,7 years,0
353370,5000,0,11.91%,36 months,C3,credit cards,credit_card,165.86,5000,23.63%,Frederick,CO,RENT,3500,740-744,4/29/94,19,38,9347,13.50%,8,0,0,0,28,0,,Northern Colorado. Ohio State,2 years,1
723949,11200,11200,10.37%,36 months,B3,jackpot,credit_card,363.35,11200,19.49%,Rockville,MD,RENT,3500,700-704,1/16/98,8,18,11758,69.20%,0,0,0,0,79,0,,,10+ years,1
2382490,21000,21000,12.12%,36 months,B3,debt consolidation,debt_consolidation,0,21000,10.87%,NEW YORK,NY,RENT,10833.33,700-704,7/4/80,14,19,38331,62.80%,1,0,0,0,,0,,,1 year,0
2370777,5500,5500,8.90%,36 months,A5,Credit card ,debt_consolidation,174.65,5500,19.75%,Hyattsville,MD,RENT,3750,760-764,11/19/99,17,37,2879,9.60%,2,0,0,0,,0,,,10+ years,0
1866778,11500,11500,17.27%,36 months,C5,Debt ,other,411.56,11500,17.11%,FRESNO,CA,MORTGAGE,6250,665-669,9/27/03,19,33,18723,55.80%,2,0,0,0,,0,,,< 1 year,0
2444622,10000,9925,14.33%,36 months,C1,Credit card refinancing,credit_card,0,10000,30.21%,SEYMOUR,CT,MORTGAGE,7500,670-674,8/28/81,14,43,15271,81.20%,1,0,0,1,6,0,,,6 years,0
1817007,8125,8125,12.12%,36 months,B3,Loan for Success,credit_card,270.34,8125,30.80%,CORONA,CA,MORTGAGE,8333.33,710-714,5/15/98,14,39,24962,94.70%,0,0,0,0,,0,,,5 years,0
384831,14400,14250,13.47%,36 months,C4,Reconcilidating credit card debt,credit_card,488.49,14400,10.35%,New York,NY,RENT,5166.67,700-704,3/12/04,12,17,17499,60%,0,0,0,0,,0,,New York University (NYU),< 1 year,1
488028,5200,5200,10.25%,36 months,B2,Debt Consolidation Loan,debt_consolidation,168.41,5200,21.63%,Austin,TX,MORTGAGE,3500,710-714,10/12/00,6,16,12970,66.20%,2,0,0,0,,0,,,2 years,1
507864,7000,6975,13.85%,36 months,C4,Hard Working Single Mom Debt Consolidation,debt_consolidation,238.73,7000,17.88%,Lakewood,OH,MORTGAGE,3400,675-679,1/1/97,13,28,17627,67%,4,0,0,0,41,1,87,,5 years,0
