Loan ID,"Status (Fully Paid=1, Not Paid=0)"
1856772,1
544915,1
2079551,1
2514828,1
396145,0
734817,1
396154,0
637408,0
493460,1
2370413,0
2311888,0
388347,1
2366930,1
2311049,0
637762,1
2300581,0
772296,1
2378442,0
2226059,1
2367601,0
788061,1
977644,0
431678,1
2366933,1
2369351,0
789053,1
2285088,1
1111620,0
1132914,0
441717,1
475531,0
1955042,1
1200455,0
979272,1
557484,0
452944,1
2382647,0
513687,1
715522,0
448111,0
474090,1
2184774,1
416753,1
388882,0
433667,0
452706,0
1097728,1
2374856,1
647374,1
500117,1
2079178,0
127504,1
449546,1
866840,1
548515,0
482319,1
426877,0
2093171,0
466101,0
423064,1
675717,1
2435485,1
157308,1
397651,1
298280,1
1207182,0
2078122,0
1140824,1
583179,1
444305,1
1086514,1
2305781,0
2378037,0
455781,1
973077,1
2306453,0
406894,1
2081511,1
2445102,1
429147,1
381739,0
364376,1
2300330,0
429170,1
498827,0
1142603,1
414410,1
594261,0
2185574,0
1481767,1
1200263,0
2378445,1
526344,0
401782,1
2367411,1
876296,1
2365316,0
637323,1
377511,0
2307802,0
833816,1
2227517,0
1334445,0
1217719,1
373583,0
1178180,0
303615,0
456643,1
453783,1
2299379,0
1198629,0
2444652,0
560787,0
476083,0
574900,0
667752,0
473390,0
721920,1
1360233,0
373183,1
2124605,1
2305245,0
2365777,0
293410,0
792768,0
2294897,0
407794,0
2306484,1
1855760,0
2080629,0
594924,0
386288,1
370893,0
876351,1
1565916,1
2372913,0
631419,1
402988,1
535351,0
603426,0
2309736,0
394291,1
463133,1
2381007,0
889934,1
874928,1
535672,0
2475800,1
398139,1
608112,1
2296674,0
490446,1
490412,1
2308129,1
353173,1
362809,0
391348,1
2371402,0
395277,1
2375874,0
361530,1
628865,1
844527,1
2075471,0
2377135,1
435606,1
2082360,1
307293,0
2475052,1
578968,1
440642,1
1634905,0
378855,0
354885,1
308897,1
629369,1
1172901,1
1380947,1
2365984,0
2297597,1
446507,1
609015,1
149203,1
539020,0
366620,1
770645,1
157855,1
2083158,0
490965,0
2089933,1
466126,1
505259,1
2310236,1
495527,0
1856689,1
2377518,0
543331,0
2074721,1
689064,1
894329,1
814053,0
1005073,1
351620,1
596281,0
452882,1
630666,1
490031,1
745054,1
418522,1
499756,1
384952,1
2218432,1
2044628,0
2366425,0
2284795,0
478320,1
244261,1
749298,1
402555,1
554512,1
2297305,1
2275484,0
534183,1
739289,1
797209,1
521816,1
374884,1
609219,1
2218715,1
637278,1
273165,0
768796,1
509330,1
604163,1
492076,0
1264924,1
2074848,1
572277,0
619077,0
996559,0
427619,1
254250,1
398427,0
357887,1
435864,0
1171828,1
323322,1
1159574,1
2306822,1
2306599,0
196574,1
2092334,1
436481,0
153178,1
2475953,0
1386394,1
1142406,1
484965,1
358702,1
725871,1
1009320,1
490460,1
2372226,0
259595,1
504146,1
2084362,0
478224,1
224614,0
2091141,0
215531,1
2414864,1
2367133,0
430666,1
642840,1
2300879,0
515491,1
370435,0
594789,0
454549,1
566363,0
2375509,0
2376052,0
486440,1
450272,0
2308151,0
828138,1
579229,1
1171638,1
570266,1
2285969,1
275339,1
604483,1
422374,1
481470,1
1865374,0
767220,0
2382193,1
612044,1
374254,1
468826,1
1483199,1
695672,1
2084391,1
2094047,0
480005,1
217788,1
485035,1
1362392,1
2299144,0
380572,1
496829,1
464535,0
355345,1
431294,1
376088,1
667933,0
2301427,1
519124,0
436231,1
2309537,1
461175,0
1954609,1
816698,1
247062,1
2310607,1
2175318,0
976241,1
1035067,0
1026174,1
2298095,0
533289,1
366208,1
422701,0
443099,1
745712,0
387512,1
308503,0
2175833,0
407684,0
721472,1
628376,1
1260696,1
547254,0
540270,1
607161,1
641107,1
2284981,1
471412,1
850448,1
498108,1
501747,1
1111266,1
509516,1
119043,1
365196,1
833467,1
367056,0
2375933,1
865583,1
376923,0
1216309,1
1575410,0
282301,0
551231,0
670271,1
774683,1
882885,0
561595,1
586998,0
729617,0
506708,1
254085,1
711408,1
628812,0
546248,1
604119,1
381068,1
632884,1
1577264,0
533748,1
2091378,0
668218,1
2374891,1
853474,1
350621,1
1236227,0
2487705,1
1348897,0
271356,1
2144944,0
984910,1
388494,1
376010,1
2286608,1
587381,1
1090403,1
357872,1
632896,0
701951,1
884068,0
642855,1
675316,1
2414660,1
2015154,0
415801,1
881823,1
2311253,0
498554,1
2301085,0
485281,0
668106,1
2226977,1
500543,1
404992,1
382687,1
1053280,1
1214138,1
68400,0
1026856,1
449739,1
458433,1
66339,0
2216301,1
622261,0
2380633,0
412736,0
2299311,0
1032418,1
2379361,0
443530,0
452435,1
2295231,0
261456,1
519485,0
443419,1
468609,0
182589,1
425961,0
463333,1
647277,1
2476189,0
131223,0
506495,0
505411,1
2310467,0
348587,1
397316,1
1172982,1
438443,1
2475122,1
1213048,0
1690524,0
2377223,1
2484754,1
866538,1
616882,1
489091,1
975107,0
389310,0
1238470,1
408144,1
618115,1
807957,1
1354349,0
1210212,1
481536,1
388991,1
1158526,1
373637,1
2305936,1
2054891,1
454334,1
429234,1
533562,1
1374040,0
661361,0
2224904,0
422759,1
386126,1
834642,1
459316,0
2367137,1
461664,1
441826,1
1675599,0
1954588,0
754240,1
438922,1
422328,1
413254,1
2276435,0
480805,0
386188,1
2225961,0
477924,1
377027,1
2367603,0
533368,1
1587402,1
704995,1
474309,1
752339,0
1088513,1
2229377,0
359696,1
446167,1
154286,1
710390,1
454773,1
497179,1
2435428,0
210247,0
832403,1
339348,0
2379623,0
725404,1
390669,1
157610,0
144609,0
479215,1
2074649,0
406071,1
751248,0
271652,1
2307956,0
475549,1
482432,0
397142,1
1075088,0
374672,1
565696,0
499637,1
1185393,1
1060626,1
2381213,0
587271,0
2372771,0
264152,0
443251,1
973403,1
2486122,1
2077393,1
600258,0
2365966,0
390261,1
554909,1
420472,0
1857072,1
517956,1
1127375,1
765206,1
