Loan ID,"Status (Fully Paid=1, Not Paid=0)"
1856772,0
544915,1
2079551,0
2514828,0
396145,1
734817,1
396154,1
637408,0
493460,1
2370413,0
2311888,0
388347,1
2366930,0
2311049,0
637762,1
2300581,0
772296,1
2378442,0
2226059,0
2367601,0
788061,1
977644,0
431678,1
2366933,0
2369351,0
789053,1
2285088,0
1111620,1
1132914,0
441717,1
475531,0
1955042,0
1200455,0
979272,1
557484,0
452944,1
2382647,0
513687,1
715522,0
448111,1
474090,1
2184774,0
416753,1
388882,0
433667,1
452706,1
1097728,1
2374856,1
647374,1
500117,1
2079178,0
127504,1
449546,1
866840,1
548515,1
482319,1
426877,0
2093171,0
466101,0
423064,1
675717,0
2435485,1
157308,0
397651,1
298280,1
1207182,0
2078122,0
1140824,1
583179,1
444305,0
1086514,0
2305781,0
2378037,0
455781,1
973077,1
2306453,0
406894,1
2081511,0
2445102,0
429147,0
381739,0
364376,0
2300330,0
429170,1
498827,0
1142603,0
414410,1
594261,1
2185574,0
1481767,0
1200263,1
2378445,0
526344,0
401782,1
2367411,0
876296,1
2365316,0
637323,1
377511,0
2307802,0
833816,1
2227517,0
1334445,0
1217719,0
373583,0
1178180,0
303615,0
456643,1
453783,1
2299379,0
1198629,0
2444652,0
560787,1
476083,0
574900,1
667752,0
473390,1
721920,1
1360233,0
373183,1
2124605,0
2305245,0
2365777,0
293410,0
792768,0
2294897,0
407794,1
2306484,0
1855760,0
2080629,0
594924,1
386288,1
370893,0
876351,1
1565916,0
2372913,0
631419,1
402988,1
535351,1
603426,1
2309736,0
394291,1
463133,1
2381007,0
889934,1
874928,1
535672,0
2475800,0
398139,1
608112,1
2296674,0
490446,1
490412,1
2308129,0
353173,0
362809,0
391348,1
2371402,0
395277,1
2375874,0
361530,1
628865,1
844527,1
2075471,0
2377135,0
435606,1
2082360,1
307293,1
2475052,0
578968,1
440642,1
1634905,0
378855,1
354885,1
308897,1
629369,0
1172901,1
1380947,1
2365984,0
2297597,0
446507,1
609015,0
149203,0
539020,0
366620,1
770645,1
157855,0
2083158,0
490965,1
2089933,1
466126,1
505259,1
2310236,0
495527,0
1856689,0
2377518,0
543331,0
2074721,0
689064,1
894329,1
814053,1
1005073,1
351620,1
596281,0
452882,0
630666,1
490031,1
745054,1
418522,1
499756,1
384952,1
2218432,0
2044628,0
2366425,0
2284795,0
478320,1
244261,1
749298,1
402555,1
554512,0
2297305,0
2275484,0
534183,1
739289,0
797209,1
521816,1
374884,1
609219,1
2218715,0
637278,0
273165,1
768796,1
509330,1
604163,1
492076,1
1264924,1
2074848,0
572277,1
619077,0
996559,1
427619,1
254250,1
398427,0
357887,1
435864,1
1171828,1
323322,1
1159574,0
2306822,0
2306599,0
196574,1
2092334,0
436481,1
153178,0
2475953,0
1386394,1
1142406,1
484965,0
358702,1
725871,1
1009320,0
490460,1
2372226,0
259595,1
504146,0
2084362,0
478224,0
224614,0
2091141,0
215531,1
2414864,0
2367133,0
430666,1
642840,1
2300879,0
515491,1
370435,1
594789,1
454549,1
566363,0
2375509,0
2376052,0
486440,1
450272,1
2308151,0
828138,1
579229,1
1171638,1
570266,1
2285969,0
275339,0
604483,1
422374,1
481470,1
1865374,0
767220,0
2382193,0
612044,1
374254,1
468826,0
1483199,0
695672,1
2084391,0
2094047,0
480005,1
217788,1
485035,1
1362392,1
2299144,0
380572,1
496829,1
464535,1
355345,0
431294,1
376088,1
667933,1
2301427,0
519124,1
436231,1
2309537,0
461175,1
1954609,0
816698,1
247062,1
2310607,0
2175318,0
976241,0
1035067,1
1026174,0
2298095,0
533289,1
366208,1
422701,1
443099,1
745712,0
387512,1
308503,0
2175833,0
407684,1
721472,1
628376,1
1260696,0
547254,0
540270,1
607161,1
641107,1
2284981,0
471412,1
850448,1
498108,1
501747,1
1111266,1
509516,1
119043,1
365196,1
833467,1
367056,0
2375933,0
865583,1
376923,0
1216309,1
1575410,0
282301,0
551231,1
670271,1
774683,1
882885,1
561595,1
586998,0
729617,1
506708,0
254085,0
711408,1
628812,0
546248,1
604119,1
381068,1
632884,1
1577264,0
533748,1
2091378,0
668218,1
2374891,0
853474,1
350621,1
1236227,0
2487705,0
1348897,1
271356,1
2144944,0
984910,0
388494,1
376010,1
2286608,0
587381,1
1090403,1
357872,1
632896,1
701951,1
884068,1
642855,0
675316,1
2414660,0
2015154,0
415801,1
881823,0
2311253,0
498554,1
2301085,0
485281,0
668106,1
2226977,0
500543,1
404992,1
382687,1
1053280,0
1214138,1
68400,1
1026856,1
449739,1
458433,1
66339,0
2216301,0
622261,0
2380633,0
412736,0
2299311,0
1032418,0
2379361,0
443530,1
452435,1
2295231,0
261456,1
519485,0
443419,1
468609,0
182589,1
425961,0
463333,1
647277,1
2476189,0
131223,0
506495,0
505411,1
2310467,0
348587,1
397316,1
1172982,1
438443,1
2475122,0
1213048,0
1690524,0
2377223,0
2484754,0
866538,1
616882,1
489091,0
975107,0
389310,0
1238470,0
408144,1
618115,1
807957,0
1354349,0
1210212,0
481536,1
388991,1
1158526,1
373637,1
2305936,1
2054891,0
454334,1
429234,1
533562,1
1374040,1
661361,1
2224904,0
422759,1
386126,1
834642,1
459316,1
2367137,0
461664,1
441826,1
1675599,0
1954588,0
754240,1
438922,1
422328,1
413254,1
2276435,0
480805,0
386188,1
2225961,0
477924,1
377027,1
2367603,0
533368,0
1587402,0
704995,1
474309,1
752339,0
1088513,1
2229377,0
359696,1
446167,1
154286,1
710390,1
454773,0
497179,1
2435428,0
210247,0
832403,1
339348,0
2379623,0
725404,1
390669,1
157610,0
144609,0
479215,1
2074649,0
406071,1
751248,1
271652,1
2307956,0
475549,1
482432,0
397142,1
1075088,0
374672,1
565696,1
499637,1
1185393,0
1060626,1
2381213,0
587271,0
2372771,0
264152,0
443251,0
973403,1
2486122,0
2077393,0
600258,0
2365966,0
390261,1
554909,1
420472,0
1857072,0
517956,1
1127375,0
765206,1
449935,0
217723,0
2295172,0
139968,0
1704631,0
617381,1
536589,0
111917,1
348393,0
2091327,0
590946,1
323288,1
753121,1
2380259,0
462643,1
460116,1
2297585,0
716075,1
589412,0
294274,0
433080,1
2373453,0
774816,1
772268,1
363803,1
665939,0
355954,1
981950,1
480835,0
2286000,1
825643,1
2487395,0
262618,1
433031,1
2081946,1
776948,1
405963,1
412217,1
1600188,0
434244,1
389701,1
390159,1
2144927,0
2306160,0
1011873,1
2076149,0
2093995,0
2364878,0
564712,0
487488,1
692765,1
549257,1
2301838,0
252324,0
837393,1
825164,0
262669,1
582374,1
2334898,0
509727,0
2296340,0
91175,0
1396103,0
1905016,0
424873,1
1306417,0
586853,1
550597,1
2299851,0
511394,0
1015500,0
235551,0
1285725,0
500440,1
584161,1
690766,1
375998,1
2074620,0
349160,0
2085027,0
482572,0
245586,0
978962,1
825058,1
1109197,0
578633,0
968042,0
792026,1
2175476,0
1020660,0
369400,1
644529,1
443796,1
2377926,0
687022,1
528195,1
156540,0
391135,1
1628249,0
666141,1
807941,0
392513,1
524664,1
186481,0
968860,0
391872,1
592606,0
390436,0
343957,0
2215683,0
2368568,0
2079055,0
375576,1
678086,1
1200124,1
422379,1
2374827,0
1143950,0
2295079,0
1607014,0
2174843,0
2083185,0
503239,1
279901,1
1856125,0
2367663,0
2264623,0
367980,1
453308,1
1680583,0
716333,1
281864,0
393847,1
456132,1
449869,1
433311,1
1695977,0
527191,1
2044897,0
297495,0
2005043,0
2092065,0
2377349,0
2089276,0
2093923,0
411759,1
1684877,0
1077665,0
2367455,0
2306575,0
498448,0
2084839,0
2297523,0
570462,1
2368522,0
1945641,1
445535,0
561192,1
438724,0
281841,1
617775,1
140452,1
546240,1
464904,0
656493,1
350532,0
359727,1
2377449,0
2378801,0
447792,1
835269,0
406815,1
210956,0
988636,0
520545,1
560227,1
2372835,0
1059100,0
619112,1
499049,1
2080239,0
751920,1
2306546,0
982991,0
356286,0
1684391,0
1049360,1
2285319,0
1945077,0
876796,1
2300844,0
385119,1
414452,1
2310153,0
2089036,0
2224767,0
816677,0
2383544,0
435322,0
2300202,0
2082959,0
2092815,0
1069071,1
387209,1
491575,1
428551,0
707294,1
193871,0
374502,1
734825,1
671578,1
759927,1
2378778,0
875028,1
363252,1
2004827,0
409181,1
2228011,0
450363,1
2307534,0
2077060,1
1039609,1
492104,1
519527,1
1684296,0
451759,1
610713,1
1605485,0
2086213,0
2227138,0
1625734,0
2488063,0
851757,1
1040382,1
2082815,0
1277764,1
2371425,0
501621,1
968759,1
609902,1
482229,0
398197,0
389138,0
495530,1
842961,0
555715,1
431218,1
460692,1
1448889,0
1189449,1
2086757,0
141041,1
1119909,1
481346,1
864733,1
481682,1
1955390,0
2299972,0
1130951,1
562822,1
2079559,0
2365151,0
454105,1
402203,1
481312,1
2377197,0
675952,0
372778,1
219315,1
147125,0
650236,0
2086132,0
173638,0
1122591,1
2376371,0
472212,1
496055,1
167698,0
2300705,0
497386,1
1421218,0
1078258,0
470125,1
417865,1
437927,1
425423,0
376894,1
666283,1
634290,0
479104,1
557170,1
2083037,0
2218679,0
483079,1
662157,1
1589446,0
493942,1
603312,1
353851,1
492540,1
508967,1
472645,1
861295,0
1856864,0
2090289,0
2090116,0
522062,1
602193,0
351019,0
460790,1
893118,1
831227,1
2487583,0
487897,1
603205,0
649294,1
421242,0
2082701,0
373988,1
2285384,0
330183,1
714755,0
2414665,0
2444932,0
528810,0
2284877,0
456788,1
2080191,0
504613,1
520295,1
719367,1
2365770,0
1905024,0
453023,1
2475500,0
875556,1
449704,1
767232,0
795341,1
576122,1
593976,1
366642,1
2044963,0
2227482,0
383526,1
2394602,0
717399,1
2445079,0
1068558,0
294684,1
414852,1
621771,0
227538,1
2300557,0
685488,1
879487,1
2217944,0
741288,1
2004676,0
440424,1
489994,1
2371532,0
423859,1
72323,0
2371009,0
2376987,0
502741,1
2215579,0
381261,1
2476371,0
630226,1
364154,1
295034,0
216874,0
389056,1
608230,0
2084884,0
1113354,0
770738,1
2312071,0
361916,1
2185540,0
361399,1
858203,0
450995,0
396644,1
443972,1
2307002,0
584422,1
378533,1
558440,1
997878,1
816529,1
2086386,1
657326,0
352072,1
1734758,0
867295,1
541802,1
642823,1
372486,0
1558219,0
2175503,0
1692262,0
2005009,0
519560,1
2375486,0
2307835,0
2305093,0
383107,1
788120,1
1114657,1
1017196,0
463158,1
874963,1
611872,1
2379283,0
1794726,0
789144,1
475481,0
1118271,1
2434612,0
2296446,0
602229,0
447032,1
724256,1
673667,1
2088320,0
2514697,0
2383067,0
2444611,0
140192,0
587654,0
2379630,0
512846,1
2307603,0
738825,1
469050,0
260324,1
372753,1
682833,1
648922,1
614849,1
727701,1
223308,1
376138,1
504602,0
2297508,0
363859,0
471313,1
371762,0
828391,1
2274788,0
464167,1
147583,0
201860,0
1242058,1
1233063,1
1006411,1
2474857,0
409356,1
410267,1
1015726,0
447294,1
474462,1
629032,1
2080515,0
1692468,0
676706,1
634386,1
792691,0
485301,1
2045288,0
624284,0
700409,1
428529,1
811924,0
1013106,0
2305558,0
2214710,0
2299575,0
1677641,0
393617,1
577683,1
2306390,0
486021,0
471762,1
1198316,1
2083110,0
394458,1
498653,1
2376500,0
1018815,0
869505,1
398605,1
2374646,0
2219397,0
809262,1
360319,1
2092043,0
649068,1
2214937,0
442147,1
480410,1
1816803,0
1559108,0
1067385,1
735898,1
2366943,0
1357467,0
596371,1
2088989,0
630199,1
2144773,0
872020,1
1027758,1
1312786,1
648218,1
678900,1
517374,1
651934,1
62499,0
632307,0
296068,1
2309073,0
460867,1
1856913,1
644920,1
417683,1
1864952,0
2486458,0
2309984,0
505255,1
611147,1
2367956,0
751636,1
505903,1
495802,1
1223799,1
696328,1
606632,1
505639,1
811558,1
2334666,0
502197,1
2079986,0
831566,1
665482,1
2078239,0
447194,1
468101,1
1014091,1
466046,1
788797,1
495615,1
603690,1
456326,1
2383292,0
2084655,0
434336,1
567109,1
450180,1
2092854,0
352912,0
407956,1
355295,0
2076877,0
2088850,0
2305960,0
454385,0
2285785,0
2444612,1
2306532,0
1012136,0
1200311,1
1198171,0
2312104,0
509600,1
971765,0
391013,1
1124176,1
2004916,0
646690,1
2371977,0
2296730,0
2296595,0
735124,1
1298636,0
2369736,0
1265262,1
2217408,1
417536,1
2014807,0
265836,1
370415,1
753696,1
507026,1
351701,1
2085423,0
634323,1
561563,1
388552,0
557199,1
2381105,0
676226,1
967952,0
2485829,0
2088913,0
370339,1
576159,1
503148,1
1080220,1
643596,0
348997,1
2093635,0
677055,0
573822,0
494361,1
2300718,0
461751,1
603756,1
633056,1
361495,1
2215135,0
2366228,0
380058,0
2226930,0
2365291,0
2301516,0
2080599,0
2382846,0
584264,0
372239,1
446346,1
600073,1
502793,1
1092596,1
2228558,0
2081273,0
594730,0
468731,0
2435594,0
892468,1
479245,1
478792,0
446264,0
2371756,0
432057,1
235269,1
759472,1
382547,1
695255,1
838289,1
2383361,0
662416,1
2218617,0
349811,0
376175,0
815170,1
2174889,0
458869,1
299160,0
821334,1
720173,1
2307764,0
492116,1
2079755,0
718608,1
999020,0
646082,1
452599,1
2477251,0
443770,1
441414,1
743596,1
1171250,0
566543,0
382331,1
402045,1
393680,1
2379679,0
472483,0
452127,1
236328,0
476579,1
2227713,0
651409,1
2175537,0
366968,1
568298,0
785699,1
1681859,0
433128,1
524771,1
2366519,0
2296747,0
2083370,0
2217089,0
2301041,0
483469,1
623836,1
74014,0
487191,1
175056,0
1455611,1
1200409,0
2366288,0
371943,1
2312059,0
433761,1
437119,1
361816,1
399423,1
2228670,0
457776,1
263321,0
166546,1
478788,0
740900,0
460298,1
438597,1
442771,1
2274741,0
2276283,0
503021,1
2300262,0
258828,1
623227,1
207148,1
305514,0
367770,1
2371115,0
488309,1
1009833,1
491180,1
2375984,0
238016,0
2378884,0
619870,1
2300155,0
2081154,0
677834,1
1138636,1
2366300,0
2308084,0
462306,1
363852,1
535485,0
2080587,0
2584827,0
2296239,0
2228103,0
2372074,0
2226314,0
351288,0
966970,0
756153,0
393690,0
279430,0
2476391,0
2284869,0
493404,0
965807,0
789774,0
594873,1
169453,1
2184917,0
2365535,0
501230,0
406026,0
435921,1
2080401,0
2225727,0
2309216,0
648130,1
735036,1
488269,1
2371341,0
2300471,0
1337947,0
329853,0
735780,1
2086915,0
514587,1
286066,1
523404,1
1261946,1
511933,1
494538,1
438452,1
530871,0
243280,1
136634,1
761100,1
2214722,0
312547,1
2076349,0
867370,1
978948,1
455716,1
166882,0
642834,1
773732,1
2229199,0
768596,1
437200,1
429311,1
2014634,0
348463,0
447842,0
1826212,0
127353,0
1855284,0
2174884,0
257242,0
589559,1
596772,1
472989,1
566862,1
2435569,0
1105987,1
2382987,0
369231,1
2297388,0
357873,1
350405,1
568448,1
2228025,0
483399,1
2304802,0
648219,1
1213811,1
479050,0
447470,1
2305777,0
401630,1
396548,0
741520,1
711928,1
465134,0
2381074,0
641733,1
860209,1
1166162,1
264003,1
2382391,0
2300701,0
429535,1
371615,1
643152,1
2234806,0
2309178,0
423044,1
725939,0
2084130,0
544040,1
2367558,0
2367367,0
2368985,0
611698,0
535858,1
437519,1
2087965,0
571285,1
472809,1
480401,0
511753,0
2376257,0
670808,1
511546,1
366989,0
764106,1
352346,1
510921,0
343481,1
1264239,0
581792,0
977893,1
1457873,1
445083,1
474595,0
2144995,0
1095601,1
458679,1
831318,1
452378,1
2301359,0
401867,1
352984,0
475749,1
364931,1
531045,0
374129,1
2365927,0
459300,1
392737,0
641397,1
2284629,0
881518,0
1085672,1
976502,1
504043,1
510546,1
433320,1
799847,1
2015213,0
376508,1
499467,1
2078480,0
734296,1
360906,1
1002436,1
2014591,0
2311709,0
2486542,0
860642,1
582650,1
455289,1
1680288,0
615660,0
433659,1
476939,1
2225846,0
2088729,0
447062,1
1618825,0
803805,0
2215314,0
2286681,0
603808,1
383163,1
555237,1
455977,1
1617841,0
498772,1
611461,1
518953,0
2079649,0
2090668,0
546282,1
416575,1
399592,1
2093700,0
2226525,0
2372806,0
1218375,0
445570,0
709541,1
2217327,0
468409,1
520544,1
430735,1
1088081,0
1690459,0
468168,1
461556,1
1695223,0
723229,1
498907,1
402791,1
200805,1
453677,1
503843,1
2295371,0
2228442,0
805889,1
1263396,1
407411,1
248308,0
2376285,0
788163,1
2054570,0
1226255,0
547713,1
741535,1
795498,1
2374641,0
467760,1
2298120,0
512220,1
847728,1
521187,1
449708,1
455121,1
862882,1
616455,1
853033,1
1162883,0
441345,1
446898,0
2301880,0
463814,1
1229936,1
666742,1
447475,1
423436,1
2081323,0
1826525,0
264901,0
2305442,0
2175283,0
1059843,1
2382310,0
415485,1
775533,1
572077,1
707388,1
2079406,0
113450,0
348856,1
352232,0
2300400,0
2089734,1
237452,1
620150,1
362505,1
709846,1
505133,1
454182,1
1816284,0
420220,1
472062,1
686168,1
370801,1
395814,1
349525,1
2088745,0
1061467,1
535303,1
458962,1
499489,1
376420,1
878054,1
2445093,0
779255,0
447932,1
546338,0
378331,1
1665235,0
427918,1
986300,1
383961,1
434740,1
2380218,0
2093616,0
487192,0
391993,1
2077966,0
2382144,0
2379943,0
555821,1
456940,1
2298169,0
242333,1
515981,1
376257,1
380274,1
128914,0
1053041,1
658208,0
378839,0
440491,1
567114,1
2080394,1
673432,1
155780,1
69168,1
414233,1
646406,1
400254,1
565938,0
766765,1
837434,1
618903,1
486785,1
2174621,0
388405,1
355553,0
396505,1
603515,0
682866,1
353677,1
641579,1
2369433,0
859957,1
2299342,0
792105,1
421940,1
2368919,0
472601,1
965742,1
373986,1
2185655,0
862873,1
766671,1
2369282,0
740799,0
652902,1
374462,1
2077968,0
434596,1
640953,0
1115810,1
150964,0
144635,0
636405,1
840632,1
2307577,0
360253,1
391319,1
565833,1
418994,1
117192,0
2476043,0
182041,0
711177,1
564942,0
373257,1
2301895,0
526119,1
2226318,0
818003,1
670030,1
2079266,0
413261,1
379670,1
2310691,0
769643,1
258521,1
376845,1
444193,1
332922,1
257100,0
2175219,1
2300824,0
498931,0
2215541,0
2310572,0
658546,1
575494,1
2310648,0
466075,0
784764,0
364203,1
676308,1
565164,0
660819,1
2295718,0
381158,0
157773,0
502506,1
716734,1
249955,1
2378323,0
583552,1
379717,1
786438,1
2380015,0
605309,1
2301508,0
1844586,0
512676,0
342282,0
2090936,0
390554,1
400775,1
2094085,0
612362,0
725919,1
508137,1
2296874,0
1449062,0
1353606,1
361755,1
2227755,0
435617,0
558162,1
2300991,0
1241245,0
1724910,0
717641,1
711320,1
2311952,0
2295404,0
373994,1
486892,1
1545049,0
877221,1
501827,0
364268,1
