Loan ID,"Status (Fully Paid=1, Not Paid=0)"
1856772,0.780
544915,0.000
2079551,0.000
2514828,0.000
396145,0.000
734817,0.780
396154,0.780
637408,0.000
493460,0.780
2370413,0.000
2311888,0.000
388347,0.780
2366930,0.000
2311049,0.000
637762,0.780
2300581,0.000
772296,0.780
2378442,0.000
2226059,0.000
2367601,0.000
788061,0.780
977644,0.780
431678,0.780
2366933,0.000
2369351,0.000
789053,0.780
2285088,0.000
1111620,0.000
1132914,0.780
441717,0.780
475531,0.000
1955042,0.000
1200455,0.000
979272,0.780
557484,0.000
452944,0.780
2382647,0.000
513687,0.780
715522,0.780
448111,0.000
474090,0.780
2184774,0.000
416753,0.780
388882,0.000
433667,0.780
452706,0.780
1097728,0.780
2374856,0.780
647374,0.780
500117,0.780
2079178,0.000
127504,0.780
449546,0.000
866840,0.780
548515,0.000
482319,0.780
426877,0.000
2093171,0.000
466101,0.000
423064,0.780
675717,0.780
2435485,0.780
157308,0.780
397651,0.780
298280,0.780
1207182,0.000
2078122,0.000
1140824,0.780
583179,0.780
444305,0.780
1086514,0.780
2305781,0.000
2378037,0.000
455781,0.000
973077,0.000
2306453,0.000
406894,0.780
2081511,0.000
2445102,0.000
429147,0.780
381739,0.000
364376,0.000
2300330,0.000
429170,0.780
498827,0.780
1142603,0.000
414410,0.780
594261,0.780
2185574,0.000
1481767,0.000
1200263,0.000
2378445,0.780
526344,0.000
401782,0.780
2367411,0.780
876296,0.780
2365316,0.000
637323,0.780
377511,0.000
2307802,0.000
833816,0.780
2227517,0.000
1334445,0.000
1217719,0.000
373583,0.000
1178180,0.000
303615,0.000
456643,0.780
453783,0.000
2299379,0.000
1198629,0.000
2444652,0.000
560787,0.780
476083,0.780
574900,0.000
667752,0.780
473390,0.780
721920,0.780
1360233,0.000
373183,0.780
2124605,0.000
2305245,0.000
2365777,0.000
293410,0.000
792768,0.000
2294897,0.000
407794,0.780
2306484,0.000
1855760,0.000
2080629,0.000
594924,0.780
386288,0.780
370893,0.780
876351,0.780
1565916,0.000
2372913,0.000
631419,0.780
402988,0.780
535351,0.000
603426,0.000
2309736,0.000
394291,0.780
463133,0.780
