Loan ID,"Status (Fully Paid=1, Not Paid=0)"
1856772,0.823
544915,0.823
2079551,0.000
2514828,0.000
396145,0.823
734817,0.823
396154,0.823
637408,0.000
493460,0.823
2370413,0.000
2311888,0.000
388347,0.823
2366930,0.000
2311049,0.000
637762,0.823
2300581,0.000
772296,0.823
2378442,0.000
2226059,0.000
2367601,0.000
788061,0.823
977644,0.823
431678,0.823
2366933,0.000
2369351,0.000
789053,0.823
2285088,0.000
1111620,0.823
1132914,0.823
441717,0.823
475531,0.823
1955042,0.000
1200455,0.000
979272,0.823
557484,0.000
452944,0.823
2382647,0.000
513687,0.823
715522,0.823
448111,0.823
474090,0.823
2184774,0.000
416753,0.823
388882,0.000
433667,0.823
452706,0.823
1097728,0.823
2374856,0.000
647374,0.823
500117,0.823
2079178,0.000
127504,0.823
449546,0.823
866840,0.823
548515,0.823
482319,0.823
426877,0.000
2093171,0.000
466101,0.000
423064,0.823
675717,0.823
2435485,0.823
157308,0.000
397651,0.823
298280,0.823
1207182,0.000
2078122,0.000
1140824,0.823
583179,0.823
444305,0.823
1086514,0.823
2305781,0.000
2378037,0.000
455781,0.823
973077,0.000
2306453,0.000
406894,0.823
2081511,0.000
2445102,0.000
429147,0.823
381739,0.823
364376,0.000
2300330,0.000
429170,0.823
498827,0.823
1142603,0.000
414410,0.823
594261,0.823
2185574,0.000
1481767,0.000
1200263,0.823
2378445,0.000
526344,0.000
401782,0.823
2367411,0.000
876296,0.823
2365316,0.000
637323,0.823
377511,0.000
2307802,0.000
833816,0.823
2227517,0.823
1334445,0.000
1217719,0.000
373583,0.000
1178180,0.000
303615,0.000
456643,0.823
453783,0.000
2299379,0.000
1198629,0.000
2444652,0.000
560787,0.823
476083,0.823
574900,0.823
667752,0.823
473390,0.823
721920,0.823
1360233,0.823
373183,0.823
2124605,0.000
2305245,0.000
2365777,0.000
293410,0.000
792768,0.000
2294897,0.000
407794,0.823
2306484,0.000
1855760,0.823
2080629,0.000
594924,0.823
386288,0.823
370893,0.823
876351,0.823
1565916,0.000
2372913,0.000
631419,0.823
402988,0.823
535351,0.823
603426,0.823
2309736,0.000
394291,0.823
463133,0.823
2381007,0.000
889934,0.823
874928,0.823
535672,0.000
2475800,0.000
398139,0.823
608112,0.823
2296674,0.000
490446,0.823
490412,0.823
2308129,0.000
353173,0.000
362809,0.000
391348,0.823
2371402,0.000
395277,0.823
2375874,0.000
361530,0.823
628865,0.823
844527,0.823
2075471,0.000
2377135,0.000
435606,0.823
2082360,0.823
307293,0.823
2475052,0.000
578968,0.823
440642,0.823
1634905,0.000
378855,0.823
354885,0.000
308897,0.823
629369,0.000
1172901,0.823
1380947,0.823
2365984,0.000
2297597,0.000
446507,0.823
609015,0.000
149203,0.000
539020,0.823
366620,0.823
770645,0.000
157855,0.000
2083158,0.000
490965,0.823
2089933,0.000
466126,0.823
505259,0.823
2310236,0.000
495527,0.000
1856689,0.823
2377518,0.000
543331,0.823
2074721,0.000
689064,0.823
894329,0.823
814053,0.823
1005073,0.823
351620,0.823
596281,0.000
452882,0.000
630666,0.823
490031,0.823
745054,0.823
418522,0.823
499756,0.823
384952,0.823
2218432,0.000
2044628,0.000
2366425,0.000
2284795,0.000
478320,0.823
244261,0.823
749298,0.000
402555,0.823
554512,0.000
2297305,0.000
2275484,0.000
534183,0.823
739289,0.823
797209,0.823
521816,0.823
374884,0.823
609219,0.823
2218715,0.000
637278,0.000
273165,0.000
768796,0.823
509330,0.823
604163,0.823
492076,0.823
1264924,0.823
2074848,0.000
572277,0.823
619077,0.000
996559,0.000
427619,0.823
254250,0.823
398427,0.000
357887,0.823
435864,0.823
1171828,0.823
323322,0.000
1159574,0.000
2306822,0.000
2306599,0.000
196574,0.823
2092334,0.000
436481,0.000
153178,0.000
2475953,0.000
1386394,0.000
1142406,0.823
484965,0.000
358702,0.823
725871,0.823
1009320,0.823
490460,0.823
2372226,0.000
259595,0.823
504146,0.000
2084362,0.000
478224,0.000
224614,0.823
2091141,0.000
215531,0.823
2414864,0.000
2367133,0.000
430666,0.823
642840,0.823
