Loan ID,"Status (Fully Paid=1, Not Paid=0)"
1856772,0.777
544915,0.777
2079551,0.000
2514828,0.000
396145,0.777
734817,0.777
396154,0.777
637408,0.000
493460,0.777
2370413,0.000
2311888,0.000
388347,0.777
2366930,0.000
2311049,0.000
637762,0.777
2300581,0.000
772296,0.777
2378442,0.000
2226059,0.000
2367601,0.000
788061,0.777
977644,0.000
431678,0.777
2366933,0.000
2369351,0.000
789053,0.777
2285088,0.000
1111620,0.000
1132914,0.000
441717,0.777
475531,0.000
1955042,0.000
1200455,0.000
979272,0.000
557484,0.000
452944,0.777
2382647,0.000
513687,0.777
715522,0.777
448111,0.777
474090,0.777
2184774,0.000
416753,0.777
388882,0.000
433667,0.777
452706,0.777
1097728,0.777
2374856,0.000
647374,0.777
500117,0.777
2079178,0.000
127504,0.777
449546,0.777
866840,0.000
548515,0.777
482319,0.777
426877,0.000
2093171,0.000
466101,0.000
423064,0.777
675717,0.777
2435485,0.777
157308,0.777
397651,0.777
298280,0.777
1207182,0.000
2078122,0.000
1140824,0.777
583179,0.777
444305,0.777
1086514,0.777
2305781,0.000
2378037,0.000
455781,0.777
973077,0.000
2306453,0.000
406894,0.777
2081511,0.000
2445102,0.000
429147,0.777
381739,0.777
364376,0.000
2300330,0.000
429170,0.777
498827,0.000
1142603,0.777
414410,0.777
594261,0.000
2185574,0.777
1481767,0.000
1200263,0.000
2378445,0.000
526344,0.000
401782,0.777
2367411,0.777
876296,0.777
2365316,0.000
637323,0.777
377511,0.000
2307802,0.000
833816,0.777
2227517,0.000
1334445,0.000
1217719,0.777
373583,0.000
1178180,0.000
303615,0.000
456643,0.777
453783,0.777
2299379,0.000
1198629,0.000
2444652,0.000
560787,0.777
476083,0.000
574900,0.000
667752,0.777
473390,0.777
721920,0.777
1360233,0.000
373183,0.777
2124605,0.000
2305245,0.000
2365777,0.000
293410,0.000
792768,0.000
2294897,0.000
407794,0.777
2306484,0.000
1855760,0.000
2080629,0.000
594924,0.777
386288,0.777
370893,0.777
876351,0.777
1565916,0.777
2372913,0.000
631419,0.777
402988,0.777
535351,0.000
603426,0.777
2309736,0.000
394291,0.777
