Loan ID,"Status (Fully Paid=1, Not Paid=0)"
1856772,0.796
544915,0.796
2079551,0.000
2514828,0.000
396145,0.796
734817,0.796
396154,0.796
637408,0.000
493460,0.796
2370413,0.000
2311888,0.000
388347,0.796
2366930,0.000
2311049,0.000
637762,0.796
2300581,0.000
772296,0.796
2378442,0.000
2226059,0.000
2367601,0.000
788061,0.796
977644,0.796
431678,0.796
2366933,0.000
2369351,0.000
789053,0.796
2285088,0.000
1111620,0.000
1132914,0.796
441717,0.796
475531,0.000
1955042,0.000
1200455,0.000
979272,0.796
557484,0.000
452944,0.796
2382647,0.000
513687,0.796
715522,0.000
448111,0.796
474090,0.796
2184774,0.000
416753,0.796
388882,0.000
433667,0.796
452706,0.796
1097728,0.796
2374856,0.796
647374,0.796
500117,0.796
2079178,0.000
127504,0.796
449546,0.796
866840,0.796
548515,0.796
482319,0.796
426877,0.000
2093171,0.000
466101,0.000
423064,0.796
675717,0.796
2435485,0.796
157308,0.796
397651,0.796
298280,0.796
1207182,0.000
2078122,0.000
1140824,0.000
583179,0.796
444305,0.796
1086514,0.796
2305781,0.000
2378037,0.000
455781,0.796
973077,0.000
2306453,0.000
406894,0.796
2081511,0.000
2445102,0.000
429147,0.796
381739,0.796
364376,0.000
2300330,0.000
429170,0.796
498827,0.796
1142603,0.796
414410,0.796
594261,0.000
2185574,0.796
1481767,0.000
1200263,0.000
2378445,0.000
526344,0.000
401782,0.796
2367411,0.796
876296,0.796
2365316,0.000
637323,0.796
377511,0.000
2307802,0.000
833816,0.796
2227517,0.796
1334445,0.000
1217719,0.000
373583,0.000
1178180,0.000
303615,0.000
456643,0.796
453783,0.796
2299379,0.000
1198629,0.000
2444652,0.000
560787,0.796
476083,0.000
574900,0.000
667752,0.796
473390,0.796
721920,0.796
1360233,0.000
373183,0.796
2124605,0.000
2305245,0.000
2365777,0.000
293410,0.000
792768,0.000
2294897,0.000
407794,0.796
2306484,0.000
1855760,0.000
2080629,0.000
594924,0.796
386288,0.796
370893,0.796
876351,0.796
1565916,0.796
2372913,0.000
631419,0.796
402988,0.796
535351,0.000
603426,0.796
2309736,0.000
394291,0.796
463133,0.796
2381007,0.000
889934,0.796
874928,0.796
535672,0.000
2475800,0.000
398139,0.796
608112,0.000
2296674,0.000
490446,0.796
490412,0.796
2308129,0.000
353173,0.000
362809,0.796
391348,0.796
2371402,0.000
395277,0.796
2375874,0.000
361530,0.796
628865,0.796
844527,0.796
2075471,0.000
2377135,0.000
435606,0.796
2082360,0.796
307293,0.796
2475052,0.000
578968,0.796
440642,0.796
1634905,0.000
378855,0.796
354885,0.796
308897,0.796
629369,0.000
1172901,0.000
1380947,0.796
2365984,0.000
2297597,0.000
446507,0.796
609015,0.000
149203,0.000
539020,0.000
366620,0.796
770645,0.796
157855,0.796
2083158,0.000
490965,0.796
2089933,0.796
466126,0.796
505259,0.796
2310236,0.000
495527,0.000
1856689,0.796
2377518,0.000
543331,0.000
2074721,0.796
689064,0.796
894329,0.796
814053,0.796
1005073,0.796
351620,0.796
596281,0.000
452882,0.000
630666,0.796
490031,0.796
745054,0.000
418522,0.796
499756,0.796
384952,0.796
2218432,0.000
2044628,0.000
2366425,0.000
2284795,0.000
478320,0.796
244261,0.796
749298,0.796
402555,0.796
554512,0.000
2297305,0.000
2275484,0.000
534183,0.796
739289,0.796
797209,0.796
521816,0.796
374884,0.796
609219,0.796
2218715,0.000
637278,0.000
273165,0.000
768796,0.796
509330,0.796
604163,0.796
492076,0.000
1264924,0.796
2074848,0.796
572277,0.000
619077,0.000
996559,0.000
427619,0.796
254250,0.796
398427,0.000
357887,0.796
435864,0.796
1171828,0.796
323322,0.000
1159574,0.000
2306822,0.000
2306599,0.000
196574,0.796
2092334,0.000
436481,0.796
153178,0.000
2475953,0.000
1386394,0.796
1142406,0.796
484965,0.000
358702,0.796
725871,0.796
1009320,0.796
490460,0.796
2372226,0.000
259595,0.796
504146,0.000
2084362,0.000
478224,0.000
224614,0.796
2091141,0.000
215531,0.796
2414864,0.000
2367133,0.000
430666,0.796
642840,0.796
2300879,0.000
515491,0.796
370435,0.796
594789,0.796
454549,0.796
566363,0.000
2375509,0.000
2376052,0.000
486440,0.796
450272,0.000
2308151,0.000
828138,0.796
579229,0.796
1171638,0.796
570266,0.796
2285969,0.000
275339,0.796
604483,0.796
422374,0.796
481470,0.796
1865374,0.000
767220,0.796
2382193,0.000
612044,0.796
374254,0.796
468826,0.796
1483199,0.796
695672,0.796
2084391,0.000
2094047,0.000
480005,0.796
217788,0.796
485035,0.796
1362392,0.796
2299144,0.000
380572,0.796
496829,0.796
464535,0.796
355345,0.000
431294,0.796
376088,0.796
667933,0.000
2301427,0.000
519124,0.796
436231,0.796
2309537,0.000
461175,0.000
1954609,0.000
816698,0.796
247062,0.796
2310607,0.796
2175318,0.000
976241,0.796
1035067,0.000
1026174,0.796
2298095,0.000
533289,0.796
366208,0.796
422701,0.796
443099,0.796
745712,0.000
387512,0.796
308503,0.000
2175833,0.000
407684,0.796
721472,0.796
628376,0.796
1260696,0.796
547254,0.000
540270,0.796
607161,0.796
641107,0.796
2284981,0.000
471412,0.796
850448,0.796
498108,0.796
501747,0.796
1111266,0.796
509516,0.796
119043,0.796
365196,0.796
833467,0.796
367056,0.796
2375933,0.000
865583,0.796
376923,0.000
1216309,0.796
1575410,0.000
282301,0.000
551231,0.000
670271,0.796
774683,0.796
882885,0.000
561595,0.796
586998,0.000
729617,0.796
506708,0.000
254085,0.796
711408,0.796
628812,0.000
546248,0.796
604119,0.796
381068,0.796
632884,0.796
1577264,0.000
533748,0.796
2091378,0.000
668218,0.796
2374891,0.000
853474,0.796
350621,0.796
1236227,0.000
2487705,0.000
1348897,0.000
271356,0.796
2144944,0.000
984910,0.796
388494,0.796
376010,0.796
2286608,0.000
587381,0.796
1090403,0.796
357872,0.796
632896,0.796
701951,0.796
884068,0.796
642855,0.000
675316,0.796
2414660,0.000
2015154,0.796
415801,0.796
881823,0.000
2311253,0.000
498554,0.796
2301085,0.000
485281,0.000
668106,0.796
2226977,0.796
500543,0.796
404992,0.796
382687,0.796
1053280,0.796
1214138,0.000
68400,0.000
1026856,0.796
449739,0.796
458433,0.796
66339,0.000
2216301,0.000
622261,0.796
2380633,0.000
412736,0.000
2299311,0.000
1032418,0.796
2379361,0.000
443530,0.000
452435,0.796
2295231,0.000
261456,0.796
519485,0.000
443419,0.796
468609,0.000
182589,0.796
425961,0.000
463333,0.796
647277,0.796
2476189,0.000
131223,0.000
506495,0.000
505411,0.796
2310467,0.000
348587,0.796
397316,0.796
1172982,0.796
438443,0.796
2475122,0.000
1213048,0.000
1690524,0.000
2377223,0.000
